单价（元/平方米）,房屋所属市辖区,房屋地址（街道）,房屋户型,所在楼层,建筑面积（平方米）,户型结构,建筑类型,房屋朝向,建筑结构,装修情况,配备电梯,挂牌时间,交易权属,房屋用途
10200.0,成华,驷马桥,3室2厅1厨1卫,高楼层 (共6层),111.02,平层,板楼,南 北,砖混结构,毛坯,无,2021-02-21,拆迁安置房,普通住宅
20000.0,成华,猛追湾,4室1厅1厨2卫,高楼层 (共9层),144.42,平层,板塔结合,南,框架结构,精装,有,2021-11-21,商品房,普通住宅
35000.0,成华,驷马桥,7室4厅1厨4卫,低楼层 (共18层),271.09,跃层,板塔结合,南,钢混结构,简装,有,2021-12-03,商品房,普通住宅
11300.0,成华,猛追湾,3室2厅1厨2卫,中楼层 (共7层),113.41,平层,板楼,南,混合结构,简装,无,2021-12-02,商品房,普通住宅
18000.0,成华,驷马桥,3室2厅1厨2卫,中楼层 (共18层),123.7,平层,塔楼,南 北,钢混结构,毛坯,有,2021-12-14,商品房,普通住宅
17500.0,成华,理工大,2室2厅1厨1卫,低楼层 (共32层),80.64,平层,板楼,南,钢混结构,精装,有,2021-11-28,商品房,普通住宅
21300.0,成华,李家沱,3室2厅1厨2卫,中楼层 (共6层),134.06,平层,塔楼,东南,钢混结构,简装,无,2021-11-29,商品房,普通住宅
20500.0,成华,驷马桥,3室1厅1厨1卫,低楼层 (共19层),91.3,平层,板塔结合,东南,钢混结构,精装,有,2021-12-11,商品房,普通住宅
16300.0,成华,动物园,3室1厅1厨2卫,高楼层 (共18层),111.07,平层,板塔结合,北 南,钢混结构,精装,有,2021-12-11,商品房,普通住宅
18000.0,成华,八里小区,3室1厅1厨1卫,中楼层 (共27层),92.3,平层,塔楼,东南,钢混结构,精装,有,2021-12-13,商品房,普通住宅
16900.0,成华,驷马桥,3室2厅1厨1卫,高楼层 (共21层),89.83,平层,板塔结合,东南,钢混结构,简装,有,2021-12-13,商品房,普通住宅
18800.0,成华,万年场,3室1厅1厨2卫,中楼层 (共11层),119.46,平层,板楼,西南,钢混结构,精装,有,2021-12-07,商品房,普通住宅
16500.0,成华,东郊记忆,3室2厅1厨1卫,低楼层 (共33层),89.06,平层,板塔结合,东北,钢混结构,简装,有,2021-12-11,商品房,普通住宅
4500.0,成华,万年场,1室1厅1厨1卫,低楼层 (共6层),47.45,平层,板楼,南,钢混结构,简装,无,2021-12-03,拆迁安置房,普通住宅
13950.0,成华,驷马桥,2室1厅1厨1卫,高楼层 (共21层),78.33,平层,板塔结合,东南,钢混结构,精装,有,2021-12-12,商品房,普通住宅
21300.0,成华,万象城,3室2厅1厨2卫,高楼层 (共33层),112.7,平层,板楼,东北,框架结构,精装,有,2021-11-20,商品房,普通住宅
13300.0,成华,猛追湾,3室2厅1厨2卫,高楼层 (共7层),145.1,平层,板楼,东南,砖混结构,简装,无,2021-05-11,商品房,普通住宅
12850.0,成华,万象城,2室1厅1厨1卫,低楼层 (共33层),67.12,平层,塔楼,西南,钢混结构,精装,有,2021-11-25,拆迁安置房,普通住宅
8000.0,成华,八里小区,3室1厅1厨1卫,高楼层 (共7层),91.71,平层,板楼,东南,钢混结构,简装,无,2021-11-25,商品房,普通住宅
9200.0,成华,万年场,2室1厅1厨1卫,中楼层 (共33层),68.57,平层,板塔结合,西,钢混结构,精装,有,2021-12-05,经济适用房,普通住宅
6600.0,成华,建设路,2室1厅1厨1卫,中楼层 (共7层),57.43,平层,板楼,东,砖混结构,简装,无,2021-12-13,商品房,普通住宅
13000.0,成华,动物园,3室1厅1厨1卫,低楼层 (共31层),71.33,平层,塔楼,南,钢混结构,精装,有,2021-12-10,商品房,普通住宅
16800.0,成华,八里小区,3室2厅1厨1卫,高楼层 (共18层),110.92,平层,板楼,西南,框架结构,毛坯,有,2021-12-04,商品房,普通住宅
15500.0,成华,龙潭寺,3室1厅1厨2卫,高楼层 (共32层),90.2,平层,板塔结合,北,钢混结构,简装,有,2021-12-04,商品房,普通住宅
14200.0,成华,驷马桥,2室1厅1厨1卫,低楼层 (共21层),75.96,平层,板塔结合,东南,钢混结构,精装,有,2021-12-12,商品房,普通住宅
21200.0,成华,万象城,3室1厅1厨1卫,低楼层 (共32层),88.39,平层,塔楼,南 北,钢混结构,简装,有,2021-12-05,商品房,普通住宅
17800.0,成华,东郊记忆,3室1厅1厨2卫,高楼层 (共33层),90.4,平层,板塔结合,东南,钢混结构,简装,有,2021-11-25,商品房,普通住宅
13880.000000000002,成华,龙潭寺,3室2厅1厨2卫,中楼层 (共5层),129.2,错层,板塔结合,东南,框架结构,简装,无,2021-12-11,商品房,普通住宅
16000.0,成华,新华公园,2室2厅1厨1卫,高楼层 (共40层),66.52,平层,板塔结合,南,钢混结构,精装,有,2021-12-06,商品房,普通住宅
7380.0,成华,驷马桥,2室1厅1厨1卫,中楼层 (共6层),74.42,平层,板楼,南,砖混结构,简装,无,2021-08-19,商品房,普通住宅
11200.0,成华,猛追湾,3室1厅1厨1卫,中楼层 (共7层),80.82,平层,板楼,西,混合结构,精装,无,2021-10-23,商品房,普通住宅
16450.0,成华,八里小区,4室2厅1厨2卫,高楼层 (共6层),139.68,跃层,板楼,东南,钢混结构,简装,无,2021-05-03,商品房,普通住宅
29000.0,成华,驷马桥,4室1厅1厨2卫,高楼层 (共18层),137.57,平层,板塔结合,东南,钢混结构,精装,有,2021-11-17,商品房,普通住宅
17200.0,成华,理工大,3室1厅1厨1卫,低楼层 (共41层),73.92,平层,塔楼,东南,框架结构,精装,有,2021-11-28,商品房,普通住宅
19800.0,成华,八里小区,3室1厅1厨2卫,中楼层 (共11层),122.76,错层,板楼,东,钢混结构,简装,有,2021-11-23,商品房,普通住宅
7800.0,成华,李家沱,2室1厅1厨1卫,高楼层 (共7层),54.79,跃层,板楼,南,混合结构,精装,无,2021-11-30,商品房,普通住宅
15700.0,成华,成渝立交,3室1厅1厨1卫,高楼层 (共31层),78.13,平层,板塔结合,北,钢混结构,精装,有,2021-11-21,商品房,普通住宅
8600.0,成华,八里小区,2室2厅1厨1卫,高楼层 (共7层),77,平层,板楼,西南,砖混结构,简装,无,2021-11-21,商品房,普通住宅
21500.0,成华,万年场,3室2厅1厨2卫,高楼层 (共41层),88.97,平层,板塔结合,西南,钢混结构,毛坯,有,2021-11-23,商品房,普通住宅
23000.0,成华,万象城,3室2厅1厨1卫,中楼层 (共32层),89.83,平层,塔楼,西,钢混结构,精装,有,2021-12-01,商品房,普通住宅
10600.0,成华,东客站,2室1厅1厨1卫,高楼层 (共18层),86.11,平层,塔楼,西,框架结构,精装,有,2021-11-20,经济适用房,普通住宅
20500.0,成华,万象城,2室1厅1厨1卫,高楼层 (共32层),90.16,平层,塔楼,东,钢混结构,精装,有,2021-12-01,商品房,普通住宅
15880.000000000002,成华,李家沱,2室1厅1厨2卫,中楼层 (共18层),86.12,平层,板塔结合,西,框架结构,简装,有,2021-11-22,商品房,普通住宅
11900.0,成华,万象城,2室2厅1厨1卫,中楼层 (共33层),67.78,平层,塔楼,西南,钢混结构,毛坯,有,2021-11-28,拆迁安置房,普通住宅
