房屋所属市辖区,建筑面积（平方米）,户型结构,建筑类型,房屋朝向,建筑结构,装修情况,配备电梯,交易权属,房屋用途,室,厅,厨,卫,总价
1,111.02,4,4,5,6,1,0,6,4,3,2,1,1,1132404.0
1,144.42,4,3,5,5,2,1,5,4,4,1,1,2,2888399.9999999995
1,271.09,5,3,5,7,3,1,5,4,7,4,1,4,9488150.0
1,113.41,4,4,5,4,3,0,5,4,3,2,1,2,1281533.0
1,123.7,4,2,5,7,1,1,5,4,3,2,1,2,2226600.0
1,80.64,4,4,5,7,2,1,5,4,2,2,1,1,1411200.0
1,134.06,4,2,9,7,3,0,5,4,3,2,1,2,2855478.0
1,91.3,4,3,9,7,2,1,5,4,3,1,1,1,1871650.0
1,111.07,4,3,1,7,2,1,5,4,3,1,1,2,1810441.0
1,92.3,4,2,9,7,2,1,5,4,3,1,1,1,1661400.0
1,89.83,4,3,9,7,3,1,5,4,3,2,1,1,1518127.0
1,119.46,4,4,10,7,2,1,5,4,3,1,1,2,2245848.0
1,89.06,4,3,8,7,3,1,5,4,3,2,1,1,1469490.0
1,47.45,4,4,5,7,3,0,6,4,1,1,1,1,213525.0
1,78.33,4,3,9,7,2,1,5,4,2,1,1,1,1092703.5
1,112.7,4,4,8,5,2,1,5,4,3,2,1,2,2400510.0
1,145.1,4,4,9,6,3,0,5,4,3,2,1,2,1929830.0
1,67.12,4,2,10,7,2,1,6,4,2,1,1,1,862492.0000000001
1,91.71,4,4,9,7,3,0,5,4,3,1,1,1,733680.0
1,68.57,4,3,3,7,2,1,7,4,2,1,1,1,630843.9999999999
1,57.43,4,4,2,6,3,0,5,4,2,1,1,1,379038.0
1,71.33,4,2,5,7,2,1,5,4,3,1,1,1,927290.0
1,110.92,4,4,10,5,1,1,5,4,3,2,1,1,1863456.0
1,90.2,4,3,1,7,3,1,5,4,3,1,1,2,1398100.0
1,75.96,4,3,9,7,2,1,5,4,2,1,1,1,1078632.0
1,88.39,4,2,5,7,3,1,5,4,3,1,1,1,1873868.0
1,90.4,4,3,9,7,3,1,5,4,3,1,1,2,1609120.0
1,129.2,1,3,9,5,3,0,5,4,3,2,1,2,1793296.0
1,66.52,4,3,5,7,2,1,5,4,2,2,1,1,1064320.0
1,74.42,4,4,5,6,3,0,5,4,2,1,1,1,549219.6
1,80.82,4,4,3,4,2,0,5,4,3,1,1,1,905183.9999999999
1,139.68,5,4,9,7,3,0,5,4,4,2,1,2,2297736.0
1,137.57,4,3,9,7,2,1,5,4,4,1,1,2,3989530.0
1,73.92,4,2,9,5,2,1,5,4,3,1,1,1,1271424.0
1,122.76,1,4,2,7,3,1,5,4,3,1,1,2,2430648.0
1,54.79,5,4,5,4,2,0,5,4,2,1,1,1,427362.0
1,78.13,4,3,1,7,2,1,5,4,3,1,1,1,1226641.0
1,77.0,4,4,10,6,3,0,5,4,2,2,1,1,662200.0
1,88.97,4,3,10,7,1,1,5,4,3,2,1,2,1912855.0
1,89.83,4,2,3,7,2,1,5,4,3,2,1,1,2066090.0
1,86.11,4,2,3,5,2,1,7,4,2,1,1,1,912766.0
1,90.16,4,2,2,7,2,1,5,4,2,1,1,1,1848280.0
1,86.12,4,3,3,5,3,1,5,4,2,1,1,2,1367585.6000000003
1,67.78,4,2,10,7,1,1,6,4,2,2,1,1,806582.0
1,68.74,4,2,5,5,3,1,5,4,2,1,1,1,824879.9999999999
1,60.44,4,3,3,5,2,1,5,4,2,1,1,1,676928.0
1,82.93,4,3,5,5,2,1,5,4,2,1,1,1,1285415.0
1,71.23,4,4,5,7,3,0,5,4,2,2,1,1,512856.0
1,55.79,4,3,10,7,3,1,5,4,1,1,1,1,401688.0
1,67.5,4,3,10,7,2,1,5,4,2,1,1,1,1113750.0
1,71.62,4,2,1,7,3,1,5,4,2,2,1,1,966870.0000000001
1,44.71,4,4,5,6,1,0,5,4,1,1,1,1,174369.0
1,84.3,4,4,5,5,3,0,5,4,2,1,1,1,740154.0
1,75.21,4,3,7,5,3,1,5,4,2,1,1,1,970208.9999999999
1,67.48,4,2,1,7,3,1,5,4,2,1,1,1,809760.0
1,87.85,4,3,8,5,3,1,5,4,2,1,1,1,1388030.0
1,124.0,4,1,9,7,3,0,5,4,3,1,1,2,2219600.0
1,78.79,4,3,5,7,3,1,5,4,2,1,1,1,984875.0000000001
1,62.74,4,2,5,5,2,1,5,4,2,1,1,1,740332.0
1,93.14,4,3,2,7,2,1,5,4,3,2,2,2,1723090.0
1,53.41,4,2,9,5,1,1,7,4,1,1,1,1,363188.0
1,68.58,4,2,1,5,3,1,5,4,2,1,1,1,802386.0
1,74.58,4,4,10,6,1,0,6,4,2,1,1,1,566808.0
